SA2_CODE_2021,city_chooser,income_household,mortgage_existing,rent,house_price,rental_yield
123031445,Sydney,95732,26004,21580,1000000,2.158
123031446,Sydney,129168,31200,25480,1000000,2.548
123031447,Sydney,98072,26100,20800,1000000,2.08
123031448,Sydney,119392,28596,21320,1000000,2.1319999999999997
124011449,Sydney,68484,20796,19760,1000000,1.976
124011450,Sydney,119288,27180,22880,1000000,2.2880000000000003
124011451,Sydney,71500,28236,0,1000000,0
124011452,Sydney,64376,20796,19760,1000000,1.976
124011453,Sydney,91260,23400,20800,1000000,2.08
124011454,Sydney,106236,26004,21840,1000000,2.1839999999999997
124011455,Sydney,79456,24960,22360,1000000,2.236
124021456,Sydney,46800,0,7800,1000000,0.7799999999999999
124031457,Sydney,93912,24696,20800,1000000,2.08
124031459,Sydney,110344,26400,22724,1000000,2.2724
124031460,Sydney,126100,27600,24180,1000000,2.418
124031461,Sydney,91312,25356,20800,1000000,2.08
124031462,Sydney,88764,25536,19240,1000000,1.924
124031463,Sydney,140348,33276,27560,1000000,2.7560000000000002
124031464,Sydney,72644,21396,19760,1000000,1.976
124031465,Sydney,121160,28596,21632,1000000,2.1632
124031707,Sydney,110136,26004,21320,1000000,2.1319999999999997
124031708,Sydney,127192,31200,27560,1000000,2.7560000000000002
124041466,Sydney,82524,26004,20800,1000000,2.08
124041467,Sydney,93860,25200,20280,1000000,2.028
124041468,Sydney,118092,30000,24440,1000000,2.444
124051469,Sydney,122148,26004,23400,1000000,2.34
124051470,Sydney,107484,26004,22880,1000000,2.2880000000000003
124051580,Sydney,81224,23400,20280,1000000,2.028
124051581,Sydney,72540,22104,18720,1000000,1.872
125011475,Sydney,97448,0,12636,1000000,1.2636
125011582,Sydney,81328,24672,23400,1000000,2.34
125011583,Sydney,77636,20796,19760,1000000,1.976
125011584,Sydney,78884,26004,22620,1000000,2.262
125011585,Sydney,80080,24000,19760,1000000,1.976
125011586,Sydney,98072,26760,24960,1000000,2.496
125011587,Sydney,73684,23712,19500,1000000,1.95
125011709,Sydney,118144,28692,27040,1000000,2.704
125011710,Sydney,104104,27600,26520,1000000,2.6519999999999997
125021477,Sydney,101816,31200,22360,1000000,2.236
125021478,Sydney,95576,31200,21840,1000000,2.1839999999999997
125021711,Sydney,111436,31200,27040,1000000,2.704
125021712,Sydney,109252,30000,25480,1000000,2.548
125031479,Sydney,73580,26004,20800,1000000,2.08
125031480,Sydney,61724,22200,15600,1000000,1.5599999999999998
125031481,Sydney,82420,24000,21840,1000000,2.1839999999999997
125031483,Sydney,63596,25200,18720,1000000,1.872
125031484,Sydney,75816,26004,20800,1000000,2.08
125031486,Sydney,84500,0,7800,1000000,0.7799999999999999
125031487,Sydney,58500,0,24024,1000000,2.4024
125031713,Sydney,100256,30000,24960,1000000,2.496
125031714,Sydney,75972,24000,20800,1000000,2.08
125031715,Sydney,121628,30000,26000,1000000,2.6
125031716,Sydney,89804,27936,23920,1000000,2.392
125041489,Sydney,96824,24960,21320,1000000,2.1319999999999997
125041490,Sydney,124748,35340,28600,1000000,2.86
125041491,Sydney,107900,26004,21840,1000000,2.1839999999999997
125041493,Sydney,104624,26400,22776,1000000,2.2776
125041494,Sydney,125892,32400,27560,1000000,2.7560000000000002
125041588,Sydney,106964,27000,21840,1000000,2.1839999999999997
125041589,Sydney,113152,26004,21840,1000000,2.1839999999999997
125041717,Sydney,111748,24936,23400,1000000,2.34
125041718,Sydney,101244,22596,20800,1000000,2.08
125041719,Sydney,91364,22800,19500,1000000,1.95
126011496,Sydney,144768,36000,27560,1000000,2.7560000000000002
126011720,Sydney,124020,31260,26000,1000000,2.6
126011721,Sydney,116376,31800,26000,1000000,2.6
126021498,Sydney,120380,36000,23920,1000000,2.392
126021499,Sydney,175136,51996,28080,1000000,2.8080000000000003
126021500,Sydney,100048,28596,24440,1000000,2.444
126021501,Sydney,126828,33600,27092,1000000,2.7092
126021503,Sydney,104988,28800,21840,1000000,2.1839999999999997
126021590,Sydney,158912,41604,36400,1000000,3.64
126021722,Sydney,133276,33804,31200,1000000,3.1199999999999997
126021723,Sydney,101556,33000,23400,1000000,2.34
126021724,Sydney,98228,30000,22360,1000000,2.236
126021725,Sydney,112216,30000,26000,1000000,2.6
127011504,Sydney,53404,22104,13832,1000000,1.3832
127011505,Sydney,106444,30000,26000,1000000,2.6
127011592,Sydney,108316,0,9464,1000000,0.9464
127011593,Sydney,125268,26004,28600,1000000,2.86
127011594,Sydney,92300,24492,23400,1000000,2.34
127011595,Sydney,106028,26004,24960,1000000,2.496
127011596,Sydney,116896,28104,26000,1000000,2.6
127011597,Sydney,125424,29124,27300,1000000,2.73
127011726,Sydney,118196,31956,27560,1000000,2.7560000000000002
127011727,Sydney,132652,31200,27560,1000000,2.7560000000000002
127011728,Sydney,118092,31800,28600,1000000,2.86
127011729,Sydney,122148,31512,27560,1000000,2.7560000000000002
127021509,Sydney,81692,24000,20800,1000000,2.08
127021510,Sydney,90428,26004,24440,1000000,2.444
127021511,Sydney,63232,18204,17160,1000000,1.7160000000000002
127021512,Sydney,74880,23400,19760,1000000,1.976
127021513,Sydney,73268,21780,18720,1000000,1.872
127021514,Sydney,94484,26004,23400,1000000,2.34
127021515,Sydney,56524,20796,19084,1000000,1.9084
127021516,Sydney,71396,24684,23400,1000000,2.34
127021517,Sydney,76804,24444,23400,1000000,2.34
127021518,Sydney,123344,36000,22880,1000000,2.2880000000000003
127021519,Sydney,71240,26004,21840,1000000,2.1839999999999997
127021520,Sydney,81120,24780,23400,1000000,2.34
127021521,Sydney,55224,0,20800,1000000,2.08
127031522,Sydney,89960,26004,23400,1000000,2.34
127031523,Sydney,110240,28800,26000,1000000,2.6
127031524,Sydney,128076,27300,25740,1000000,2.574
127031599,Sydney,59072,24000,18200,1000000,1.82
127031601,Sydney,58240,18204,16640,1000000,1.664
127031730,Sydney,133224,33600,28600,1000000,2.86
127031731,Sydney,69940,20796,19760,1000000,1.976
127031732,Sydney,64168,20796,18720,1000000,1.872
127031733,Sydney,120068,26400,27040,1000000,2.704
128011529,Sydney,126256,34320,27560,1000000,2.7560000000000002
128011530,Sydney,104260,31200,25480,1000000,2.548
128011531,Sydney,104884,33804,28600,1000000,2.86
128011602,Sydney,98488,30528,24440,1000000,2.444
128011603,Sydney,141544,40800,37960,1000000,3.7960000000000003
128011604,Sydney,109460,31200,26000,1000000,2.6
128011605,Sydney,181012,46800,43316,1000000,4.3316
128011606,Sydney,133588,36000,28600,1000000,2.86
128021533,Sydney,116428,30156,27040,1000000,2.704
128021534,Sydney,147160,33600,35360,1000000,3.5360000000000005
128021535,Sydney,139984,32244,30160,1000000,3.016
128021536,Sydney,142740,36000,26000,1000000,2.6
128021537,Sydney,97500,0,20280,1000000,2.028
128021538,Sydney,104520,28596,23920,1000000,2.392
128021607,Sydney,119496,31200,26000,1000000,2.6
128021608,Sydney,131976,32208,28600,1000000,2.86
128021609,Sydney,164008,32064,38376,1000000,3.8376
197979799,Regional,0,0,0,1000000,0
199999499,Regional,0,0,0,1000000,0
201011001,Regional,101504,20376,19240,1000000,1.924
201011002,Regional,81796,20400,16276,1000000,1.6276
201011005,Regional,100204,19944,17160,1000000,1.7160000000000002
201011006,Regional,84604,18000,18720,1000000,1.872
201011007,Regional,107380,20796,18200,1000000,1.82
201011008,Regional,61932,15600,13520,1000000,1.352
201011481,Regional,62868,15600,14976,1000000,1.4976
201011482,Regional,85488,18720,15600,1000000,1.5599999999999998
201011483,Regional,72592,16644,15340,1000000,1.534
201011484,Regional,53040,14148,13520,1000000,1.352
201021009,Regional,90012,20400,17160,1000000,1.7160000000000002
201021010,Regional,64376,15600,13000,1000000,1.3
201021011,Regional,69836,19200,17160,1000000,1.7160000000000002
201021012,Regional,94276,20340,14040,1000000,1.4040000000000001
201031013,Regional,51220,12072,10400,1000000,1.04
201031014,Regional,62036,14592,11336,1000000,1.1336000000000002
201031015,Regional,75660,16644,13000,1000000,1.3
201031016,Regional,45552,12000,12480,1000000,1.248
201031017,Regional,49712,12552,10400,1000000,1.04
202011018,Regional,65884,15600,14560,1000000,1.456
202011019,Regional,63596,15600,14560,1000000,1.456
202011020,Regional,73216,17160,15340,1000000,1.534
202011021,Regional,76180,16788,15080,1000000,1.508
202011022,Regional,64376,15600,15080,1000000,1.508
202011023,Regional,114556,20280,19760,1000000,1.976
202011024,Regional,115284,20904,20800,1000000,2.08
202011025,Regional,87828,17628,17160,1000000,1.7160000000000002
202021026,Regional,106080,19500,16640,1000000,1.664
202021027,Regional,62400,16896,16120,1000000,1.6119999999999999
202021028,Regional,68484,17676,14560,1000000,1.456
202021029,Regional,57980,16644,13520,1000000,1.352
202021030,Regional,88140,20844,18252,1000000,1.8252000000000002
202021031,Regional,109876,24000,20384,1000000,2.0383999999999998
202031032,Regional,75608,15600,11960,1000000,1.196
202031033,Regional,53404,10404,8840,1000000,0.8840000000000001
203011034,Regional,112268,22884,20072,1000000,2.0072
203011035,Regional,98696,20796,16016,1000000,1.6016
203011036,Regional,95940,20796,15600,1000000,1.5599999999999998
203021037,Regional,78520,20400,18200,1000000,1.82
203021039,Regional,80184,20436,17680,1000000,1.7680000000000002
203021040,Regional,89388,22104,17420,1000000,1.7420000000000002
203021042,Regional,109772,24000,18980,1000000,1.8980000000000001
203021043,Regional,102232,21060,19240,1000000,1.924
203021044,Regional,82628,19236,19500,1000000,1.95
203021045,Regional,60372,16404,15600,1000000,1.5599999999999998
203021046,Regional,108784,26004,18720,1000000,1.872
203021047,Regional,72072,18720,17680,1000000,1.7680000000000002
203021485,Regional,103376,21060,21840,1000000,2.1839999999999997
203021486,Regional,63960,15600,14560,1000000,1.456
203021487,Regional,92508,20796,20280,1000000,2.028
203021488,Regional,48152,14400,13208,1000000,1.3208
203031048,Regional,74048,19800,19760,1000000,1.976
203031049,Regional,87568,26004,20280,1000000,2.028
203031051,Regional,59228,20004,17680,1000000,1.7680000000000002
203031052,Regional,79092,24000,20800,1000000,2.08
203031053,Regional,118612,26004,26000,1000000,2.6
203031489,Regional,114452,22884,21840,1000000,2.1839999999999997
203031490,Regional,97864,24000,21840,1000000,2.1839999999999997
204011054,Regional,59020,15600,13000,1000000,1.3
204011055,Regional,58916,14040,13000,1000000,1.3
204011056,Regional,81848,19236,17160,1000000,1.7160000000000002
204011057,Regional,69212,18000,16640,1000000,1.664
204011058,Regional,67236,18000,14820,1000000,1.482
204011059,Regional,60580,15600,13000,1000000,1.3
204011060,Regional,98800,20796,13780,1000000,1.3780000000000001
204011061,Regional,46800,13200,13520,1000000,1.352
204011062,Regional,63544,18000,15600,1000000,1.5599999999999998
204021063,Regional,59384,15036,13000,1000000,1.3
204021064,Regional,70876,16380,11440,1000000,1.1440000000000001
204021065,Regional,69888,15600,12636,1000000,1.2636
204021066,Regional,64584,15600,13520,1000000,1.352
204021067,Regional,78052,18000,13000,1000000,1.3
204031068,Regional,74568,18720,15600,1000000,1.5599999999999998
204031069,Regional,72644,18000,15496,1000000,1.5495999999999999
204031070,Regional,77636,16668,13520,1000000,1.352
204031071,Regional,63752,16800,13000,1000000,1.3
204031072,Regional,66560,14400,10920,1000000,1.0919999999999999
204031073,Regional,76440,16644,15080,1000000,1.508
204031075,Regional,95316,20280,14560,1000000,1.456
204031491,Regional,111436,20484,20020,1000000,2.002
204031492,Regional,63128,15600,13520,1000000,1.352
205011076,Regional,75504,19500,17160,1000000,1.7160000000000002
205011077,Regional,75712,18204,13000,1000000,1.3
205011078,Regional,75504,18000,15600,1000000,1.5599999999999998
205011079,Regional,82680,19764,16640,1000000,1.664
205021080,Regional,0,0,0,1000000,0
205021081,Regional,62088,15600,14560,1000000,1.456
205021082,Regional,68796,16116,13000,1000000,1.3
205021083,Regional,0,0,0,1000000,0
205021084,Regional,52728,15600,14040,1000000,1.4040000000000001
205021085,Regional,48152,12996,9880,1000000,0.988
205021086,Regional,55692,15600,16120,1000000,1.6119999999999999
205031087,Regional,57720,15600,13000,1000000,1.3
205031088,Regional,52728,21600,17992,1000000,1.7992000000000001
205031089,Regional,71968,17988,14560,1000000,1.456
205031090,Regional,68380,17484,14040,1000000,1.4040000000000001
205031091,Regional,61100,18204,17160,1000000,1.7160000000000002
205031092,Regional,69316,0,5200,1000000,0.52
205031093,Regional,60008,17604,15496,1000000,1.5495999999999999
205041094,Regional,73268,15600,11960,1000000,1.196
205041095,Regional,52884,12996,10920,1000000,1.0919999999999999
205041096,Regional,48984,11436,11180,1000000,1.118
205041098,Regional,86112,15600,13000,1000000,1.3
205041493,Regional,72072,15600,13000,1000000,1.3
205041494,Regional,85020,15912,15600,1000000,1.5599999999999998
205051099,Regional,36348,20160,1040,1000000,0.104
205051100,Regional,56108,15600,10400,1000000,1.04
205051101,Regional,68848,15600,13000,1000000,1.3
205051102,Regional,77324,15600,12272,1000000,1.2272
205051103,Regional,69212,15600,14560,1000000,1.456
205051104,Regional,52624,14304,12480,1000000,1.248
206011106,Melbourne,108524,24000,21892,1000000,2.1892
206011107,Melbourne,92872,24000,18980,1000000,1.8980000000000001
206011109,Melbourne,116740,26004,21892,1000000,2.1892
206011495,Melbourne,107224,26004,22412,1000000,2.2412
206011496,Melbourne,110552,24216,23400,1000000,2.34
206011497,Melbourne,101088,25200,21632,1000000,2.1632
206011498,Melbourne,113672,27588,23400,1000000,2.34
206021110,Melbourne,109824,26400,19812,1000000,1.9812
206021112,Melbourne,102856,26400,20592,1000000,2.0591999999999997
206021499,Melbourne,117052,29124,23972,1000000,2.3972
206021500,Melbourne,120536,28152,25480,1000000,2.548
206031113,Melbourne,113984,29496,19240,1000000,1.924
206031115,Melbourne,81692,24000,16848,1000000,1.6847999999999999
206031116,Melbourne,109772,26004,20800,1000000,2.08
206031501,Melbourne,114140,28800,19864,1000000,1.9864
206031502,Melbourne,106860,26004,19292,1000000,1.9292
206041117,Melbourne,67028,22452,18980,1000000,1.8980000000000001
206041118,Melbourne,101712,24000,21372,1000000,2.1372
206041119,Melbourne,121940,28596,24960,1000000,2.496
206041120,Melbourne,113256,21264,20852,1000000,2.0852
206041121,Melbourne,115232,25944,21632,1000000,2.1632
206041124,Melbourne,98020,24000,20592,1000000,2.0591999999999997
206041125,Melbourne,117468,25200,23764,1000000,2.3764
206041127,Melbourne,0,0,0,1000000,0
206041503,Melbourne,78572,21240,19500,1000000,1.95
206041504,Melbourne,56628,20700,18772,1000000,1.8772
206041505,Melbourne,75192,20520,19552,1000000,1.9552
206041506,Melbourne,89336,24420,19812,1000000,1.9812
206041507,Melbourne,364000,0,0,1000000,0
206041508,Melbourne,106808,24000,22360,1000000,2.236
206041509,Melbourne,97760,21840,21216,1000000,2.1216
206041510,Melbourne,92768,25620,20280,1000000,2.028
206051128,Melbourne,119756,31200,25636,1000000,2.5636
206051129,Melbourne,108836,27600,21580,1000000,2.158
206051130,Melbourne,122044,30180,27144,1000000,2.7144000000000004
206051134,Melbourne,103376,25200,19968,1000000,1.9968
206051511,Melbourne,125164,27348,30420,1000000,3.042
206051512,Melbourne,109356,26604,21892,1000000,2.1892
206051513,Melbourne,92976,23976,19812,1000000,1.9812
206051514,Melbourne,96148,24000,20384,1000000,2.0383999999999998
206061135,Melbourne,114764,29748,21892,1000000,2.1892
206061136,Melbourne,109096,26400,21892,1000000,2.1892
206061138,Melbourne,131976,37752,25480,1000000,2.548
206061515,Melbourne,106184,24000,22152,1000000,2.2152000000000003
206061516,Melbourne,104052,26400,20540,1000000,2.054
206071139,Melbourne,114244,26004,22100,1000000,2.21
206071140,Melbourne,122460,31200,28132,1000000,2.8132
206071141,Melbourne,110760,26004,22100,1000000,2.21
206071142,Melbourne,114088,30000,23452,1000000,2.3452
206071143,Melbourne,119600,30000,25012,1000000,2.5012
206071145,Melbourne,131508,31200,26000,1000000,2.6
206071517,Melbourne,134004,30000,26416,1000000,2.6416
206071518,Melbourne,104468,24564,20800,1000000,2.08
207011146,Melbourne,142636,36000,23660,1000000,2.366
207011147,Melbourne,104884,36000,23972,1000000,2.3972
207011148,Melbourne,122200,37224,28808,1000000,2.8808
207011149,Melbourne,128544,36000,25480,1000000,2.548
207011150,Melbourne,151528,36000,27144,1000000,2.7144000000000004
207011152,Melbourne,115856,29904,21372,1000000,2.1372
207011154,Melbourne,129220,36000,24232,1000000,2.4232
207011155,Melbourne,140868,37800,24700,1000000,2.4699999999999998
207011519,Melbourne,119600,33600,20852,1000000,2.0852
207011520,Melbourne,106860,25200,20800,1000000,2.08
207011521,Melbourne,134004,36600,26052,1000000,2.6052
207011522,Melbourne,127868,36000,23712,1000000,2.3712
207021156,Melbourne,94224,28800,23920,1000000,2.392
207021157,Melbourne,82940,26004,23400,1000000,2.34
207021159,Melbourne,112476,32400,26676,1000000,2.6675999999999997
207021160,Melbourne,99788,30000,24700,1000000,2.4699999999999998
207021424,Melbourne,100568,28800,25844,1000000,2.5844
207021425,Melbourne,86112,28596,23920,1000000,2.392
207031161,Melbourne,106600,27600,21840,1000000,2.1839999999999997
207031162,Melbourne,96772,27012,21320,1000000,2.1319999999999997
207031163,Melbourne,74932,25056,20332,1000000,2.0332
207031164,Melbourne,99840,29892,22776,1000000,2.2776
207031165,Melbourne,81328,29484,20852,1000000,2.0852
207031166,Melbourne,83720,25764,22828,1000000,2.2828
207031167,Melbourne,124176,31200,24024,1000000,2.4024
208011168,Melbourne,136344,36000,31824,1000000,3.1824
208011169,Melbourne,141336,41604,31200,1000000,3.1199999999999997
208011170,Melbourne,141440,40020,31304,1000000,3.1304
208011171,Melbourne,119132,30000,23400,1000000,2.34
208011172,Melbourne,125580,36000,24492,1000000,2.4492
208011173,Melbourne,122512,33600,25272,1000000,2.5272
208021174,Melbourne,116480,30000,25532,1000000,2.5532
208021176,Melbourne,97396,24300,20540,1000000,2.054
208021177,Melbourne,113568,30000,22152,1000000,2.2152000000000003
208021178,Melbourne,119028,33576,25116,1000000,2.5116
208021179,Melbourne,112892,29364,22152,1000000,2.2152000000000003
208021180,Melbourne,106964,26004,21632,1000000,2.1632
208021181,Melbourne,108628,26400,20280,1000000,2.028
208021182,Melbourne,102856,25836,20332,1000000,2.0332
208021426,Melbourne,117000,30000,26416,1000000,2.6416
208021427,Melbourne,112996,30144,25480,1000000,2.548
208031183,Melbourne,122096,25380,26520,1000000,2.6519999999999997
208031184,Melbourne,48516,23976,26208,1000000,2.6208
208031185,Melbourne,96356,25200,21840,1000000,2.1839999999999997
208031186,Melbourne,89336,24780,19812,1000000,1.9812
208031187,Melbourne,97084,24012,21424,1000000,2.1424
208031188,Melbourne,96356,26004,21892,1000000,2.1892
208031189,Melbourne,115596,26400,22880,1000000,2.2880000000000003
208031190,Melbourne,98228,26004,20384,1000000,2.0383999999999998
208031191,Melbourne,106392,27600,22880,1000000,2.2880000000000003
208031192,Melbourne,0,0,25272,1000000,2.5272
208031193,Melbourne,108680,27036,20800,1000000,2.08
208041194,Melbourne,122928,33600,21320,1000000,2.1319999999999997
208041195,Melbourne,124072,35328,21892,1000000,2.1892
209011196,Melbourne,88660,24156,20020,1000000,2.002
209011197,Melbourne,108056,26004,20800,1000000,2.08
209011198,Melbourne,109304,27600,20852,1000000,2.0852
209011199,Melbourne,84136,24708,18356,1000000,1.8356000000000001
209011200,Melbourne,118560,30000,22880,1000000,2.2880000000000003
209011201,Melbourne,151528,36000,23452,1000000,2.3452
209011202,Melbourne,107536,26004,21580,1000000,2.158
209011203,Melbourne,105300,26400,20800,1000000,2.08
209011204,Melbourne,101972,24444,20280,1000000,2.028
209021205,Melbourne,89804,24000,19188,1000000,1.9188
209021428,Melbourne,92924,24000,20332,1000000,2.0332
209021429,Melbourne,102440,25728,20800,1000000,2.08
209021523,Melbourne,80288,22356,18616,1000000,1.8616000000000001
209021524,Melbourne,74984,24000,19292,1000000,1.9292
209021525,Melbourne,72852,23604,18148,1000000,1.8148000000000002
209021526,Melbourne,90636,24240,18772,1000000,1.8772
209031209,Melbourne,128128,27564,23192,1000000,2.3192
209031210,Melbourne,112736,24000,21840,1000000,2.1839999999999997
209031211,Melbourne,94068,21732,15912,1000000,1.5912
209031212,Melbourne,117208,26400,15600,1000000,1.5599999999999998
209031213,Melbourne,132808,27264,24960,1000000,2.496
209031214,Melbourne,147212,30000,24024,1000000,2.4024
209031215,Melbourne,129792,26004,22308,1000000,2.2308000000000003
209041216,Melbourne,95316,24000,19812,1000000,1.9812
209041217,Melbourne,73996,22800,19760,1000000,1.976
209041220,Melbourne,93496,21168,18980,1000000,1.8980000000000001
209041221,Melbourne,85644,20796,19188,1000000,1.9188
209041223,Melbourne,63700,20400,18200,1000000,1.82
209041224,Melbourne,104104,21600,18772,1000000,1.8772
209041225,Melbourne,96460,24000,19500,1000000,1.95
209041431,Melbourne,87100,20496,18720,1000000,1.872
209041432,Melbourne,75036,18000,18200,1000000,1.82
209041433,Melbourne,96096,21840,19812,1000000,1.9812
209041435,Melbourne,116584,23400,20800,1000000,2.08
209041436,Melbourne,98748,21444,19760,1000000,1.976
209041437,Melbourne,102908,24000,20332,1000000,2.0332
209041527,Melbourne,112996,24000,20800,1000000,2.08
209041528,Melbourne,110240,24000,20072,1000000,2.0072
209041529,Melbourne,63648,19956,18200,1000000,1.82
209041530,Melbourne,75400,22512,19032,1000000,1.9032
209041531,Melbourne,98644,22800,19656,1000000,1.9656
209041532,Melbourne,109668,23400,20280,1000000,2.028
210011226,Melbourne,91572,25020,20852,1000000,2.0852
210011227,Melbourne,0,0,0,1000000,0
210011228,Melbourne,94640,24228,20592,1000000,2.0591999999999997
210011230,Melbourne,116428,28800,22620,1000000,2.262
210011231,Melbourne,126880,30000,23400,1000000,2.34
210011533,Melbourne,82524,26004,20800,1000000,2.08
210011534,Melbourne,99476,26004,21216,1000000,2.1216
210021232,Melbourne,120172,26004,22360,1000000,2.236
210021233,Melbourne,127764,29904,18772,1000000,1.8772
210021234,Melbourne,112112,24000,20800,1000000,2.08
210021235,Melbourne,104208,23136,18980,1000000,1.8980000000000001
210031236,Melbourne,102960,26004,20852,1000000,2.0852
210031237,Melbourne,74672,22560,19760,1000000,1.976
210031439,Melbourne,112424,24000,21996,1000000,2.1996000000000002
210031440,Melbourne,79976,24000,19552,1000000,1.9552
210031535,Melbourne,79352,22620,19188,1000000,1.9188
210031536,Melbourne,97188,23760,19188,1000000,1.9188
210031537,Melbourne,114608,26004,20852,1000000,2.0852
210031538,Melbourne,104156,25200,20800,1000000,2.08
210041240,Melbourne,109512,21468,19292,1000000,1.9292
210041539,Melbourne,104468,21600,20592,1000000,2.0591999999999997
210041540,Melbourne,89804,21600,18252,1000000,1.8252000000000002
210041541,Melbourne,103324,20796,19552,1000000,1.9552
210051242,Melbourne,60944,17028,17212,1000000,1.7212
210051243,Melbourne,57408,18000,17160,1000000,1.7160000000000002
210051245,Melbourne,83200,22800,19292,1000000,1.9292
210051246,Melbourne,117000,26004,22360,1000000,2.236
210051247,Melbourne,66248,17520,17992,1000000,1.7992000000000001
210051248,Melbourne,74724,11820,13000,1000000,1.3
210051250,Melbourne,73008,20796,18252,1000000,1.8252000000000002
210051441,Melbourne,79196,18204,18200,1000000,1.82
210051442,Melbourne,101816,22104,19292,1000000,1.9292
210051443,Melbourne,95420,22800,19500,1000000,1.95
210051445,Melbourne,103064,24000,20800,1000000,2.08
210051542,Melbourne,97552,22884,20592,1000000,2.0591999999999997
210051543,Melbourne,91104,22800,19812,1000000,1.9812
210051544,Melbourne,85384,19764,19500,1000000,1.95
210051545,Melbourne,84188,21000,20540,1000000,2.054
211011251,Melbourne,83720,21924,19552,1000000,1.9552
211011254,Melbourne,101556,25404,22100,1000000,2.21
211011255,Melbourne,143312,26400,22620,1000000,2.262
211011256,Melbourne,108316,24000,22100,1000000,2.21
211011257,Melbourne,118820,25872,23400,1000000,2.34
211011258,Melbourne,122876,24744,24492,1000000,2.4492
211011259,Melbourne,97916,26004,22204,1000000,2.2204
211011260,Melbourne,94692,25200,22152,1000000,2.2152000000000003
211011446,Melbourne,83668,22428,19552,1000000,1.9552
211011447,Melbourne,83512,22668,19240,1000000,1.924
211011448,Melbourne,101920,23400,21060,1000000,2.106
211011449,Melbourne,106548,23400,19032,1000000,1.9032
211021261,Melbourne,118768,30984,23452,1000000,2.3452
211021262,Melbourne,144508,27600,25012,1000000,2.5012
211031263,Melbourne,93600,22188,18772,1000000,1.8772
211031265,Melbourne,123604,26004,22412,1000000,2.2412
211031266,Melbourne,86320,24000,19812,1000000,1.9812
211031267,Melbourne,101140,25200,20020,1000000,2.002
211031268,Melbourne,121160,26400,22672,1000000,2.2672000000000003
211031450,Melbourne,81432,22620,19292,1000000,1.9292
211031451,Melbourne,88140,24936,20748,1000000,2.0747999999999998
211031452,Melbourne,98176,24000,21320,1000000,2.1319999999999997
211041269,Melbourne,86216,25476,20592,1000000,2.0591999999999997
211041270,Melbourne,105560,26004,21112,1000000,2.1111999999999997
211041271,Melbourne,100776,26004,20332,1000000,2.0332
211041272,Melbourne,106184,28596,22152,1000000,2.2152000000000003
211041273,Melbourne,101088,28596,25792,1000000,2.5791999999999997
211051274,Melbourne,117156,23400,20800,1000000,2.08
211051275,Melbourne,108368,26004,23036,1000000,2.3036000000000003
211051276,Melbourne,82888,20796,18200,1000000,1.82
211051277,Melbourne,86008,23640,20592,1000000,2.0591999999999997
211051278,Melbourne,92768,23400,19188,1000000,1.9188
211051279,Melbourne,97344,24000,18720,1000000,1.872
211051280,Melbourne,108888,24000,18980,1000000,1.8980000000000001
211051281,Melbourne,103584,24000,20800,1000000,2.08
211051282,Melbourne,109304,24336,20800,1000000,2.08
211051283,Melbourne,106340,24000,18980,1000000,1.8980000000000001
211051284,Melbourne,111696,23400,19500,1000000,1.95
211051285,Melbourne,107432,23400,18720,1000000,1.872
211051286,Melbourne,74828,20280,16380,1000000,1.638
212011289,Melbourne,113152,23760,19240,1000000,1.924
212011546,Melbourne,111592,24000,20332,1000000,2.0332
212011547,Melbourne,98644,23400,16172,1000000,1.6172
212011548,Melbourne,94796,23280,16640,1000000,1.664
212011549,Melbourne,85852,20796,17992,1000000,1.7992000000000001
212011550,Melbourne,98124,23400,19032,1000000,1.9032
212011551,Melbourne,64220,18204,17420,1000000,1.7420000000000002
212011552,Melbourne,93756,21600,19188,1000000,1.9188
212021293,Melbourne,98020,24000,19760,1000000,1.976
212021295,Melbourne,65624,18000,16640,1000000,1.664
212021297,Melbourne,77792,20400,18772,1000000,1.8772
212021299,Melbourne,138268,28464,20800,1000000,2.08
212021453,Melbourne,94796,22032,19188,1000000,1.9188
212021454,Melbourne,90116,23016,19916,1000000,1.9916
212021455,Melbourne,99840,20796,19240,1000000,1.924
212021456,Melbourne,83980,20856,18720,1000000,1.872
212021553,Melbourne,122772,25200,22360,1000000,2.236
212021554,Melbourne,113100,24000,20800,1000000,2.08
212031300,Melbourne,76804,19524,17784,1000000,1.7784000000000002
212031303,Melbourne,115856,26004,21216,1000000,2.1216
212031304,Melbourne,98956,22104,19760,1000000,1.976
212031306,Melbourne,121160,24960,21632,1000000,2.1632
212031308,Melbourne,98540,22812,19240,1000000,1.924
212031457,Melbourne,122304,24000,22360,1000000,2.236
212031458,Melbourne,104572,21840,20384,1000000,2.0383999999999998
212031555,Melbourne,118976,27600,21892,1000000,2.1892
212031556,Melbourne,114036,26004,21320,1000000,2.1319999999999997
212031557,Melbourne,100412,24000,20800,1000000,2.08
212031558,Melbourne,101816,24000,20852,1000000,2.0852
212031559,Melbourne,113568,24348,20852,1000000,2.0852
212031560,Melbourne,87672,20508,18460,1000000,1.846
212031561,Melbourne,84396,19200,18460,1000000,1.846
212031562,Melbourne,76024,18600,18200,1000000,1.82
212041309,Melbourne,86268,24120,20800,1000000,2.08
212041310,Melbourne,84760,23964,19812,1000000,1.9812
212041312,Melbourne,74672,20796,17732,1000000,1.7732
